submission,workload,workload_variant,study,trial,metric_name,target_value,higher_is_better,global_step,accumulated_submission_time,metric_value
ademamix,wmt,wmt_pytorch,0,1,bleu,30.8491,True,108778,16752.356283187866,30.867059390411267
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,1,13.06631851196289,1.685469352583144
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,164,371.457216501236,0.1291786055151118
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,323,728.1195857524872,0.1292468913473276
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,485,1085.5358378887177,0.1273887186414861
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,643,1442.3054339885712,0.1268605130280285
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,802,1798.620108127594,0.1266999856546172
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,971,2154.3018939495087,0.1261102214236161
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,1127,2511.988891839981,0.125903755091322
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,1295,2867.809395551681,0.125897580981992
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,1461,3224.745320081711,0.1257567089740735
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,1616,3580.62016415596,0.12570985765418
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,1771,3938.618175983429,0.1255725725065503
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,1954,4294.876715660095,0.1252481260792123
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,2115,4652.410439968109,0.1258032080752376
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,2280,5010.343657255173,0.1260658753787651
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,2445,5368.280689716339,0.1252746382345922
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,2610,5724.533994436264,0.1252845995226137
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,2789,6080.374138116837,0.1251820734282885
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,2978,6437.132004737854,0.1248357622596294
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,3181,6794.627226352692,0.1249780238779201
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,3344,7150.797760486603,0.1248540666841989
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,3505,7507.217604160309,0.1248233667133223
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,3679,7864.330427646637,0.1248391948259987
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,3853,8219.991032123566,0.1248378966241879
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,4048,8576.302778244019,0.1247289731851705
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,4211,8931.909889698029,0.124666900764809
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,4385,9288.0388276577,0.1247604235170269
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,4559,9644.99974513054,0.1245896229585393
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,4750,10001.762555360794,0.1247775730020702
ademamix,criteo1tb,criteo1tb_pytorch,1,1,loss,0.123735,False,4927,10358.712023973463,0.1244525794677554
