workload,label,model_family,submission,median_seconds,self_tuning_budget_seconds,budget_fraction,target_reached,best_non_muon_submission,best_non_muon_seconds,speedup_vs_best_non_muon
fastmri,fastMRI,U-Net,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,4117.5,0.27415613262452143,True,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,1.0
fastmri,fastMRI,U-Net,Single Worker DiLoCo (JAX),2379.342566609382,4117.5,0.5778609754971177,True,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,0.47443268233967956
fastmri,fastMRI,U-Net,Single Worker DiLoCo v2 (JAX),2578.1419467926025,4117.5,0.6261425493121074,True,Schedule-Free AdamW v2 (PyTorch),1128.837876081467,0.437849388970155
imagenet_resnet,ImageNet ResNet,ResNet-50,AdEMAMix (PyTorch),inf,74877.0,inf,False,,inf,
imagenet_resnet,ImageNet ResNet,ResNet-50,Cautious NAdamW (JAX),inf,74877.0,inf,False,,inf,
imagenet_resnet,ImageNet ResNet,ResNet-50,Lion (PyTorch),inf,74877.0,inf,False,,inf,
imagenet_resnet,ImageNet ResNet,ResNet-50,Muon (JAX),inf,74877.0,inf,False,,inf,
imagenet_resnet,ImageNet ResNet,ResNet-50,Muon (PyTorch),inf,74877.0,inf,False,,inf,
imagenet_resnet,ImageNet ResNet,ResNet-50,NAdamW (JAX),inf,74877.0,inf,False,,inf,
imagenet_resnet,ImageNet ResNet,ResNet-50,NAdamW (Baseline AlgoPerf v0.5) (JAX),inf,74877.0,inf,False,,inf,
imagenet_resnet,ImageNet ResNet,ResNet-50,NAdamW (Tuned for ResNet) (JAX),inf,74877.0,inf,False,,inf,
imagenet_resnet,ImageNet ResNet,ResNet-50,Schedule-Free AdamW (PyTorch),inf,74877.0,inf,False,,inf,
imagenet_resnet,ImageNet ResNet,ResNet-50,Schedule-Free AdamW (JAX),inf,74877.0,inf,False,,inf,
imagenet_resnet,ImageNet ResNet,ResNet-50,Schedule-Free AdamW v2 (JAX),inf,74877.0,inf,False,,inf,
imagenet_resnet,ImageNet ResNet,ResNet-50,Schedule-Free AdamW v2 (PyTorch),inf,74877.0,inf,False,,inf,
imagenet_resnet,ImageNet ResNet,ResNet-50,Single Worker DiLoCo (JAX),inf,74877.0,inf,False,,inf,
imagenet_resnet,ImageNet ResNet,ResNet-50,Single Worker DiLoCo v2 (JAX),inf,74877.0,inf,False,,inf,
librispeech_conformer,LibriSpeech Conformer,Conformer,AdEMAMix (PyTorch),48894.85426735878,65520.0,0.7462584595140229,True,AdEMAMix (PyTorch),48894.85426735878,1.0
librispeech_conformer,LibriSpeech Conformer,Conformer,Cautious NAdamW (JAX),inf,65520.0,inf,False,AdEMAMix (PyTorch),48894.85426735878,
librispeech_conformer,LibriSpeech Conformer,Conformer,Lion (PyTorch),inf,65520.0,inf,False,AdEMAMix (PyTorch),48894.85426735878,
librispeech_conformer,LibriSpeech Conformer,Conformer,Muon (JAX),inf,65520.0,inf,False,AdEMAMix (PyTorch),48894.85426735878,
librispeech_conformer,LibriSpeech Conformer,Conformer,Muon (PyTorch),inf,65520.0,inf,False,AdEMAMix (PyTorch),48894.85426735878,
librispeech_conformer,LibriSpeech Conformer,Conformer,NAdamW (JAX),inf,65520.0,inf,False,AdEMAMix (PyTorch),48894.85426735878,
librispeech_conformer,LibriSpeech Conformer,Conformer,NAdamW (Baseline AlgoPerf v0.5) (JAX),inf,65520.0,inf,False,AdEMAMix (PyTorch),48894.85426735878,
librispeech_conformer,LibriSpeech Conformer,Conformer,NAdamW (Tuned for ResNet) (JAX),inf,65520.0,inf,False,AdEMAMix (PyTorch),48894.85426735878,
librispeech_conformer,LibriSpeech Conformer,Conformer,Schedule-Free AdamW (PyTorch),inf,65520.0,inf,False,AdEMAMix (PyTorch),48894.85426735878,
librispeech_conformer,LibriSpeech Conformer,Conformer,Schedule-Free AdamW (JAX),inf,65520.0,inf,False,AdEMAMix (PyTorch),48894.85426735878,
librispeech_conformer,LibriSpeech Conformer,Conformer,Schedule-Free AdamW v2 (JAX),inf,65520.0,inf,False,AdEMAMix (PyTorch),48894.85426735878,
librispeech_conformer,LibriSpeech Conformer,Conformer,Schedule-Free AdamW v2 (PyTorch),55846.44081497192,65520.0,0.8523571552956641,True,AdEMAMix (PyTorch),48894.85426735878,0.8755231945640933
librispeech_conformer,LibriSpeech Conformer,Conformer,Single Worker DiLoCo (JAX),inf,65520.0,inf,False,AdEMAMix (PyTorch),48894.85426735878,
librispeech_conformer,LibriSpeech Conformer,Conformer,Single Worker DiLoCo v2 (JAX),inf,65520.0,inf,False,AdEMAMix (PyTorch),48894.85426735878,
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,AdEMAMix (PyTorch),inf,55423.5,inf,False,Schedule-Free AdamW (PyTorch),40463.388149023056,
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,Cautious NAdamW (JAX),inf,55423.5,inf,False,Schedule-Free AdamW (PyTorch),40463.388149023056,
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,Lion (PyTorch),inf,55423.5,inf,False,Schedule-Free AdamW (PyTorch),40463.388149023056,
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,Muon (JAX),inf,55423.5,inf,False,Schedule-Free AdamW (PyTorch),40463.388149023056,
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,Muon (PyTorch),inf,55423.5,inf,False,Schedule-Free AdamW (PyTorch),40463.388149023056,
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,NAdamW (JAX),inf,55423.5,inf,False,Schedule-Free AdamW (PyTorch),40463.388149023056,
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,NAdamW (Baseline AlgoPerf v0.5) (JAX),inf,55423.5,inf,False,Schedule-Free AdamW (PyTorch),40463.388149023056,
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,NAdamW (Tuned for ResNet) (JAX),inf,55423.5,inf,False,Schedule-Free AdamW (PyTorch),40463.388149023056,
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,Schedule-Free AdamW (PyTorch),40463.388149023056,55423.5,0.7300763782334759,True,Schedule-Free AdamW (PyTorch),40463.388149023056,1.0
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,Schedule-Free AdamW (JAX),inf,55423.5,inf,False,Schedule-Free AdamW (PyTorch),40463.388149023056,
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,Schedule-Free AdamW v2 (JAX),inf,55423.5,inf,False,Schedule-Free AdamW (PyTorch),40463.388149023056,
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,Schedule-Free AdamW v2 (PyTorch),41911.17554831505,55423.5,0.7561986440465696,True,Schedule-Free AdamW (PyTorch),40463.388149023056,0.9654558150576572
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,Single Worker DiLoCo (JAX),inf,55423.5,inf,False,Schedule-Free AdamW (PyTorch),40463.388149023056,
librispeech_deepspeech,LibriSpeech DeepSpeech,DeepSpeech,Single Worker DiLoCo v2 (JAX),inf,55423.5,inf,False,Schedule-Free AdamW (PyTorch),40463.388149023056,
